"Key","SourceString"
"DFr_BA1EFAA5.Text","“Don't worry Gooker is a novice with his head up his bottom, he won't do anything even if he hears!”"
"DFr_707E8D83.Text","“Maybe once you go deeper into the festival grounds you will be interested in hearing more about that sacred mountainside.”"
"DFr_8906B3A7.Text","“Now why should I do that? I don't know much about you.”"
"DFr_614E37E1.Text","“Sigma? Stud? Darling, you're embarrassing yourself. An actual stud would never call themselves either of those things, its cringe-worthy.”"
"DFr_DE97D37D.Text","*Sigh* “Aren't we all? Even as we grow older, the horizon of our world expands faster than our gained wisdom. Stuck in a perpetual state of confusion and guesswork.”"
"DFr_F3D57316.Text","“Blood may be thicker than water in Garcosa, but I hail to a greater bond. One you only gain through friendship and years of shared experience. That is where true family is found.”"
"DFr_7C18EEE0.Text","“Guncle often referred to himself in a similar fashion, and always in poor taste.”"
"DFr_3D43C1AD.Text","“Guncle was one of the few who would charge headfirst into that uncertainty.”"
"DFr_5A5BE124.Text","“You may be his nephew by blood, but I was his guardian by choice. Those two bonds do not carry the same weight.”"
"DFr_6DEFE089.Text","“Ahh of course he did. Did he also proclaim me to be dangerous and vile? That maybe I should be dangling upside down in prison cell?”"
"DFr_452B31EE.Text","“So fast to pass judgement darling, too fast. We have had no conversational foreplay to see if any of those accusations actually stick.”"
"DFr_ADAE57F1.Text","“However, has Gooker told you of my relation to the now oh so esteemed, holy, righteous, and glorious King Grancis?”"
"DFr_6AA73983.Text","“Yet, you reserve judgement. My sincerest gratitude and apologies, for I had prejudice towards you. It seems I may have been mistaken on what you actually believe.”"
"DFr_9D367553.Text","“Did he now?! Didn't know Gooker had a sadist kink, not that it surprises me. He seems the type who needs to project his dark insecurities.”"
"DFr_1ED55942.Text","“Well why would you think such a thing? He is an ambassador of the crown. Surely to doubt his opinion is silly.”"
"DFr_1FA852C3.Text","“Twinky winky?” *Laughter* “That's a cute insult, but I'm not the one with a leash around his neck.”"
"DFr_F791AE6E.Text","“So, did Gooker tell you about Grancis and I?”"
"DFr_9963B210.Text","“Mmmhm did he now? So, how do I know the oh so grand lord and founder of Caldarianism?”"
"DFr_85C9A65E.Text","“Although I proudly served the Tribes during the civil war, I never directly entered combat. My hands are made for weaving, not violence.”"
"DFr_547A2DAF.Text","“Cracking under the smallest amount of pressure? Wheres the fun in that!”"
"DFr_D6D06D98.Text","“Ew, that's a horrible image you've just forced in my head. No, that is not how I know him.”"
"DFr_0DCCF27B.Text","*Laughter* “I don't have a wife, or plan on ever having one. Though deception by him does ring true in a sense...”"
"DFr_D05E2159.Text","“I actually knew him from years of being his mentor. He was born and raised in Zerrol, a gifted mind with a keen eye for craftsmanship. I took him under my wing and taught him how to hone his talents. That is why he was so close to Guncle, they grew up as brothers.”"
"DFr_44A39F71.Text","“I knew him, but not anymore.”"
"DFr_EC21E48D.Text","“He was a burly gnome with a keen eye and a knack for tinkering. He always wore that weird grey cap he'd designed himself, and his clothes were always covered in soot. He was always coming up with some new contraption.”"
"DFr_B63FB4EF.Text","“I remember his profound obsession with creating a propulsion device for Gernik's sporecatchers.”"
"DFr_C9637B5A.Text","“More than just close, I remember the first time we were to head to the Gernikian Festival. On that day, as the sun rose high we received news that the Damsel was releasing her spores. Grancis had urged me, his eyes alight with fiery determination, that we must begin our journey to Gernik at once. We hurried through the vibrantly woven streets of Zerrol, past the soft glow of the cobwebs shimmering between clusters of mushrooms. The gnome merchants called out, their voices punctuating the air like music, each stall an explosion of color. Sounds of laughter mingled with enticing aromas and spices wafted through the air.”"
"DFr_4D8291F5.Text","“Guncle was a jovial and calm figure, embodying both warmth and mischief. He stood out with his distinctive red pointed top hat, not unlike your own. His hair was a muddy blond, his thick monobrow would often furrow in concentration when he was confused or uncertain. But would lift with glee during moments of laughter. Guncle's moustache is a whimsical masterpiece, twirled thrice upon itself to form two ammonite spirals flanking his stubby nose.”"
"DFr_52864D9F.Text","“Yet my memory is haunted, the energy of youth I saw embodied in the two boys, Grancis and Guncle, burns my mind. Their innocence painting the Shroomwoods with brushstrokes of lilac joy, speckled with the ochre tint of curiosity. They had been inseparable, best friends tethered by a shared love of adventure and a singular dream: to experience the wonder of the world around them.”"
"DFr_A4C65BDF.Text","“Yes, It was a prototype for the grey hard hats construction workers wear nowadays.”"
"DFr_B03C96B4.Text","“They are kites with large nets attached below them, these nets collect the spores from The Damsel to be used for the Gernikian Festival!”"
"DFr_6AD8201F.Text","“Hmm yes, a working man indeed, but he was anything but down to earth. He always aspired for more.”"
"DFr_9A2BE4AF.Text","“Guncle's personality is not dissimilar to as he is now, he holds himself to high standards, though this can sometimes lead to moments of critical perfectionism. Yet, when at his best, He embodies a sense of noble heroism, forever striving to create joy and unity in the ever-changing tapestry of life.”"
"DFr_4150A751.Text","“He hated being called that. He only ever enjoyed the titles of hunter and chef, everything else he considered flowery nonsense.”"
"DFr_1AC9A5E6.Text","“Indeed it was very pretty, made up for his horrendous unibrow. My goodness the number of times I tried to make him pluck it, but he was resilient it made him look manly.”"
"DFr_522E45A9.Text","“You do not know about the Gernikian festival? Why, you are exploring It's location every time you head out that tavern door. Two hours away on foot along the northern path, you will come across a monumentously large mushroom, have you seen it?”"
"DFr_4B35AE91.Text","“Because it is of a time long gone, even if centuries have passed. My desire to go back to that life has never wavered.”"
"DFr_49910DFA.Text","“Fine, my point is simple. I know your King and your uncle in a way you never could. I have centuries of shared experiences with them, what do you have? A history book tainted by propaganda?”"
"DFr_708C8262.Text","“Am I a heretic? Or merely a gnome who wishes to return to a time where I could celebrate my traditions. One where I am not branded as a monster for my love of the Shroomwoods.”"
"DFr_BE06B8C0.Text","“It was beautiful, words fail to describe the harmony  found in the Gernikian Festival. The tribes were as one.”"
"DFr_E22AC98D.Text","“Heretical? Darling you are so brainwashed it hurts, I am merely speaking about our history!”"
"DFr_7114D3BD.Text","“So, do you wish to know what Zerrol was like?”"
"DFr_9DF069C4.Text","“Whatever helps you sleep at night darling. It was a region in the north west of the Shroomwoods where tightly knit fungal caps grew tall and thin.”"
"DFr_0ECFBFCE.Text","“That's quite alright. It was a region in the north west of the Shroomwoods where tightly knit fungal caps grew tall and thin.”"
"DFr_6ED0C857.Text","“Our architecture was in harmony with the ecosystem, shimmering cobwebs were woven between the mushroom caps, creating graceful arches and delicate bridges that connected the various levels of Zerrol. Homes and shops were seamlessly integrated into the fungal structures, our doors and windows adorned with intricate patterns made from webs. Gnomes  would bustle about on the winding pathways, some carrying baskets of glowing fungi, others tending to the living walls of their unique dwellings.”"
"DFr_B6BB9802.Text","“It was a paradise of artistic beauty, unmatched in the whole of the Shroomwoods.”"
"DFr_5FCC7A02.Text","“Suit yourself.”"
"DFr_69FF83B0.Text","“I bet those books never mentioned how your King wished to attend every Gernikian festival.”"
"DFr_79822585.Text","“Yes, but before he founded that horrendous religion, he celebrated the Gernikian festival as proudly as I do.”"
"DFr_D471B4DE.Text","“You don't need to trust me, you will see the truth I speak as you explore the festival grounds of Gernik!”"
"DFr_DA1DED09.Text","“What I know is that before your oh so holy king founded Caldarianism, he would celebrate the Gernikian festival as proudly as I do.”"
"DFr_56384C17.Text","“Lie all you want, I smelt those dishes you brought back. I know the scent of burnt cucafera all too well. They are only found on the festival grounds. So don't try to deceive me!”"
"DFr_5AAE5819.Text","“I assumed so, I could smell the dishes you brought back, and I know the scent of burnt cucafera all too well. They are only found on the festival grounds.”"
"DFr_4FAD2DB0.Text","“Did you see a great broth river, cascading off the side of a cliff?”"
"DFr_54809361.Text","“Fine, I understand you may be struggling to come to terms with what you have seen. Just know that the giant mushroom was the heart and soul of my culture, and pushed our traditions to a place of harmony.”"
"DFr_28E66C5A.Text","....."
"DFr_3CDBF496.Text","“Also, you avoided answering my question.”"
"DFr_5436E293.Text","“I would use those pearls to make the dancers medallion.”"
"DFr_18E5B3EE.Text","“Have you ever heard of a basilisk?”"
"DFr_083338D0.Text","“So naturally, you can imagine to dance with one would be quite the feat.”"
"DFr_DE0A79F3.Text","“The bravest souls would dance against the forest's greatest danger.”"
"DFr_F8370532.Text","“Memories of the past. some things hurt less as time goes on. others more.”"
"DFr_EB49AB36.Text","“I wanted to get a hold of some more to make another, but Guncle has been resistant to go into the festival grounds so I haven't had any supply.”"
"DFr_7EE0541D.Text","“Oh deary me! Guncle never told you?”"
"DFr_89707CB1.Text","“The Gernikian council had as a sign of its everlasting harmony with the forest a special event each festival exactly that.”"
"DFr_ABCEF3B1.Text","“The dance would be held in a coliseum with a singular basilisk.”"
"DFr_DA7ECDCB.Text","“That's sweet of you... If there are any they will likely be in the Bazaar”"
"DFr_625A94DF.Text","“Your Guncle has had a long and complicated life darling.”"
"DFr_4D194674.Text","“Now, let us talk of something else"
"DFr_694D6B5C.Text","“Basilisks are large avian beasts with dragons tails, sharp beaks, and acidic saliva..”"
"DFr_7B109896.Text","“So naturally, you can imagine to dance with one would be quite the feat.”"
"DFr_516F1BF9.Text","“Winners would then be allowed to sit with the council and comment on the future decisions of the tribes.”"
"DFr_8910B4C8.Text","“It was very exciting! Everyone would be under the influence of the broth.”"
"DFr_E8232B69.Text","“Yes it was.”"
"DFr_C3442549.Text","“This included the brave contestants of the dance. Many a comical, epic, and tragic tale has come from this tradition.”"
"DFr_445FBDEC.Text","“But if the basilisk died it was seen as a terrible omen.”"
"DFr_3B660987.Text","“Sometimes, the contestants motor skills were hindered by our fermented broth. Compromising their ability to survive.”"
"DFr_2B0543F6.Text","“However death via basilisk was a noble death that would be celebrated.”"
"DFr_DB81A334.Text","“However death via basilisk was a noble death that would be celebrated.”"
"DFr_EF77EC84.Text","“...Well that is more than enough storytelling for one day.”"
"DFr_3D7E42A3.Text","“...”"
"DFr_AAD234A4.Text","“Really!? What did it say?”"
"DFr_F26D54CC.Text","*Gasp* “Show me the note!”"
"DFr_8B970FCE.Text","*Ahem* “Pardon me darling I seemed to have forgotten my manners. May I please see the note that mentions me?”"
"DFr_8C223200.Text","“Alright well how about this, If you show me the note I will tell you about the festival.”"
"DFr_5DE596BA.Text","“Thank you. Now let us see here...”"
"DFr_F4FAB3A1.Text","“Oh my! It's Galia's handwriting! It even has her seal. How on earth is this scroll still intact? It should be hundreds of years old at this point.”"
"DFr_49430E24.Text","“No! I won't be extorted like this.”"
"DFr_D5CBE1C1.Text","“Fine fine, I have a solution to this. Do you consider yourself attractive?”"
"DFr_286E4A73.Text","“Okay, so first thing you need is a mirror for that ridiculous ego.”"
"DFr_895A995E.Text","“Okay! Fabulous! That is exactly what I would have rated you as well.”"
"DFr_A8A6D247.Text","“Damsel give me mercy, you need some therapy for that abysmal self-esteem. You may be a little wonky, but not fuck-ugly!”"
"DFr_1D3125D5.Text","“However after that, you are going to want a fresh outfit.”"
"DFr_5DEC66FD.Text","“However, with a fresh outfit we could easily push you to a seven! Heck, maybe even an eight!”"
"DFr_6BF6209C.Text","“However, with a fresh outfit you can skip therapy and gain that ever so dearly needed confidence!”"
"DFr_0AD6A5E3.Text","*Gailor reaches out and squeezes your bicep between his fingers*"
"DFr_8EA60213.Text","“Ha! I thought so!”"
"DFr_EEA46E98.Text","*Gailor rolls his eyes* Oh Damsel give me patience! Look at me! Why would I know anything about attractiveness?! Don't be ridiculous."
"DFr_53012C38.Text","“I trim and pluck it every morning, it takes me an hour but it's oh so worth it. So trust me, I know how to make you dashing and handsome! ”"
"DFr_5B3E9968.Text","*Gailor twirls his scarf between his fingers* “Oh this is one of many outfits which complement each other. You should see the size of my wardrobe in Zerrol. So trust me, I know how to make you dashing and handsome!”"
"DFr_FE215D6F.Text","“You really are a fool! This outfit would score many a hit with the ladies!”"
"DFr_7603B55E.Text","“Don't be like that, let me help you get some action.”"
"DFr_BC139C53.Text","“Once you serve a divine dish to the King and win the royal competition, you'll be allowed to retire in the capital! Fine dining and parties with the upper classes of society will be your new life.”"
"DFr_074DC5DE.Text","“You need yourself a tailor made outfit or two to impress the ladies. If you show me the note, I promise I shall make you an outfit which will leave the ladies swooning!”"
"DFr_FDB11594.Text","“Whatever helps you sleep at night buddy. However, if you wish to sleep at night with someone at your side, let me have my say.”"
"DFr_2539975F.Text","“Excuse me?! What did you just say?”"
"DFr_046D9CA8.Text","“I am a craftsman and weaver, and though delicate, my fingers are my greatest tools. That is why I was master weaver of the Festival of Gernik."
"DFr_A96391B4.Text","“I accept your apology, and propose a deal so you get this glow-up!"
"DFr_498F7229.Text","“Though you wouldn't know anything about that, since you refuse to show me that note! So please, just hear me out."
"DFr_7324D28A.Text","“Okay let me get this straight. A Gnomechef who is hunting in the dangerous wilderness of Gernik is scared by...”"
"DFr_0CF42FD7.Text","*Gailor twirls, balancing on the tip of one of his shoes, his pink scarf ribboning around his slim frame*"
"DFr_EB94AC7E.Text","“..Me?”"
"DFr_4B0ED14D.Text","“Trust me, it will work just as well, possibly even better. I should know.”"
"DFr_21CD62D7.Text","*Sigh* “One outfit, I'll personally trim your shaggy beard and give you a cologne. Sod it, I'll also give you a coupon to one of the best tailors in Garcosa.”"
"DFr_E2777E8D.Text","*Sigh* “No, one outfit. However, I'll personally trim your shaggy beard and give you a perfume to cover your mustardy scent. Sod it, I'll also give you a coupon to one of the best tailors in Garcosa.”"
"DFr_060A693C.Text","“What?! That makes no sense, you were the one who started this negotiation!”"
"DFr_FF155454.Text","“Whatever, If you change your mind. I will be here...”"
"DFr_FBE44D9C.Text","“Finally! Thank you. Now let me have a look at this note...”"
"DFr_B60A60D5.Text","“Its mentioning my sale! Those Xilvaoan bastards never let up on their absurd bargains.”"
"DFr_7CFC24E4.Text","“Oh my! It's Galia's handwriting! It even has her seal. How on earth is this scroll still intact? It should be hundreds of years old at this point.”"
"DFr_8E8E34E7.Text","“Its mentioning my sale! Those Xilvaoan bastards never let up on their absurd bargains. They made your little haggle look like childs play.”"
"DFr_696C2279.Text","“Yes I was always aware of their conniving tactics. Drive up demand by strangling supply. Out of all the tribes they were the craftiest. It really showed in the chaos of the Bazaar.”"
"DFr_2B10641C.Text","“Yes, a fur for each region of the Shroomwoods and its Tribe. We would all gather in the market and trade. Such an ordeal could easily lead to violence, but we managed to maintain civility through the use of our fermented broth.”"
"DFr_2455BE57.Text","“We had the tribe of Zerrol which I am from so I doubt I need to tell you much more about it.”"
"DFr_BDAD7EDA.Text","“Wit, Bravery, Empathy, Tenacity, and Literacy."
"DFr_8F43377E.Text","“Fantastic, I am not a fan of retelling stories.”"
"DFr_D02185DE.Text","“We embodied craftsmanship and beauty. Each of the other tribes embodied its own passions and cultures.”"
"DFr_209211AA.Text","“Xilvao, Dalensia, Tarcelon, Gadrid, and Qalaga."
"DFr_6964A78A.Text","The tribe of Xilvao. Their region is on the northern border of the Shroomwoods, where the fungal forest reaches the coastline of the great broth."
"DFr_F3929501.Text","The Tribe of Dalensia. Their region is in the East, a land thick with ferns covering the ground, populated by many species of basilisk."
"DFr_B0E1E6BD.Text","The Tribe of Tarcelon. Their region is in the North-East, characterized by its striking landscape of towering formations, known as Tarcelo spires, which appear to rise majestically from the starch."
"DFr_084E16CA.Text","The Tribe of Qalaga. Their region is in the south, bordering the Western Jungle. A wild land where endurance and caution are needed for survival."
"DFr_11BB9B4A.Text","The Tribe of Gadrid. Their region is at the center of the shroomwoods. We have a saying that all paths lead to Gadrid. Well, we had that saying, until Garcosa usurped its location."
"DFr_A608EFB1.Text","*Sigh* “Stop being so childish, you flexed your muscles and made yourself look like an idiot.”"
"DFr_13007DAA.Text","“Charming as ever. Fine, I shall keep reading.”"
"DFr_5F6A2B49.Text","“Charming as ever. Fine, I shall keep reading.”"
"DFr_AC94D784.Text","“Hm, suit yourself.”"
"DFr_8BE7478D.Text","“Each with their own passions and strengths.”"
"DFr_57F64CE1.Text","“Yes. This fermented broth not only had healing properties. If you drank it, you would be left docile and merry. Very useful for tense negotiations as everyone becomes a pacifist.”"
"DFr_F047FAE0.Text","Positioned at the very center, Gadrid was the connective node that bound the various tribes together. All paths led to this vibrant enclave, which made it a bustling hub of trade and cultural exchange."
"DFr_2F313194.Text","The way they had sculpted their capital, from white stones and marble, was nothing short of miraculous. Each level, rising elegantly above the other, allowed the city to ascend to majestic heights, echoing their aspirations and ideals."
"DFr_04C5C5A2.Text","Oh darling, They had an insatiable passion for knowledge and history that was simply enchanting! You see, every nook and cranny of their majestic Library was filled with mythical tales, with wisdom gleaned from generations ago."
"DFr_9C7DE14A.Text","The Gadrileans took such pride in preserving the knowledge of the Shroomwoods; they believed that the stories of their ancestors are the very roots that nourish their community, binding them together through time and fostering a deep sense of identity among their people."
"DFr_61FB41A9.Text","The Library, with its intricate carvings and statues, stood at the heart of Gadrid. A glowing beacon of enlightenment, drawing you in with its historic allure."
"DFr_71DEC370.Text","As tribes passed through its elegantly wide streets, they carried not only goods but also stories and shared traditions. Gadrid was a melting pot that reflected the rich tapestry of gnome civilization."
"DFr_41147B79.Text","“They embodied wit with their wry tactics in commerce and trade. Wit was also essential if they were ever to encounter a fell creature from the depths of the broth. Their ships would be swallowed whole if they did not amuse the creatures with a swift joke or cutting remark.”"
"DFr_5C6327F5.Text","“They embodied bravery due to the high density of Basilisks found in their region. They had great fighters that could handle the beasts, and often capture them for the festival dances. They developed spears from the basilisk’s tail that served as pole-jumps when evading combat, and as deterrents if cornered.”"
"DFr_014857D4.Text","“Their region was closest to Gernik, so they flourished in the fields of medicine and music. They would make pacts with the other tribes in which they would send a small group of healers to work in exchange for commodities. A guild of healers known as The Keepers were to take care of the Springs, using spices and other balms to increase the potency of the fermented broth during its blossom.”"
"DFr_EF9CB0DB.Text","“Qalaga has no capital. It has many small villages that all border the great Western Jungle. The dangers within those lands require endurance to overcome. To face against any of its beasts in a fight will surely lead to death. The tenacity needed to survive such an environment is beyond my comprehension”"
"DFr_BE8DF692.Text","“Oh darling, with the fermented broth of the festival of course! It allowed would otherwise be tense discussions turn into jovial disagreements. We also had an ambassador from a region that would travel between the tribes each year. This ambassador was the champion dancer of that years festival!”"
"DFr_246CE65A.Text","“Zerrol was region in the north west of the Shroomwoods where tightly knit fungal caps grew tall and thin.”"
"DFr_D9BBC28F.Text","“No, but everyone in Garcosa has heard the legendary tales of the Blade of Caldaria”"
"DFr_3E84A5DC.Text","“He gained this title after he killed many rebellious heretics. leading the assault to capture the port of Xilvao.”"
"DFr_73CF07F6.Text","“Stories say he carved through many a pagan by himself in their town square, making the savages taste divine dishes and embrace the visions of Caldaria.”"
"DFr_008146AF.Text","“Vile gnomes, dancing and fornicating at all hours.”"
"DFr_C2CA349F.Text","“He designed the frameworks for the city as well as the large mills that churn out stone and starch from the ground.”"
"DFr_369EB04A.Text","“Food and shelter was provided to all at a fraction of the manpower! What a blessing to have him as our saviour!”"
"DFr_79C1080C.Text","“They would even eat their own children.”"
"DFr_DA7FDEBE.Text","“Yes he was, armed with that Gleaver you carry. a fine invention of our king Grancis.”"
"DFr_80039EED.Text","“Our king is the greatest inventor. He created the Glunderbuss as well. The architect of our kingdoms great castles.”"
"DFr_2B4D0CA6.Text","“Yes. they could not keep their obscene traditions after witnessing her terrifying beauty firsthand.”"
"DFr_F287F9CC.Text","“They surrendered on the spot.”"
"DFr_5CEBDED3.Text","“It had multiple styles of cooking and was effective to carry.”"
"DFr_F95078C9.Text","“Its lethal capacity also allowed divine dishes to be created in the hunt. instead of needing to capture the beasts first and then begin the ritual.”"
"DFr_697DF8C5.Text","“By all means.”"
"DFr_7237ED57.Text","“Sure thing!”"
"DFr_E58BB3FB.Text","“A great warrior known in all history books to have saved kingdom.”"
"DFr_31E881E3.Text","“Well he defeated the heretical tribes that assaulted Dalensia.”"
"DFr_E739333D.Text","“He with a single battalion held off thousands of the savages.”"
"DFr_ACD9C822.Text","“The tribes... They were cannibals.”"
"DFr_A7C398B4.Text","“He made first royal order, gamusino a la grill, simple and pure but for some reason the first one slapped and the king loved it.”"
"DFr_3D986DC5.Text","“He was then tasked with teaching as many gnomes as he could of his technique so they could also provide divine dishes.”"
"DFr_35F40BDD.Text","“They would tear at the throats of the poor villagers and feast on their entrails.”"
"DFr_F6EFC6E9.Text","“Struck by its potency the king asked Guncle to outline the exact process he used to achieve this result.”"
"DFr_AE535EF7.Text","“This process was then declared to have an official role and title. Gnomechef.”"
"DFr_9DCB4828.Text","“NO! Where in Garcosa could you have heards such a vile rumour.”"
"DFr_CF972635.Text","“He is the chosen champion of the civil war. To think of him as a heretic of the tribes is absurd.”"
"DFr_2DE9D84B.Text","“Have you been living under a rock? The royal competition held each year.”"
"DFr_398221ED.Text","“By all means.”"
"DFr_2FF4698C.Text","“The competition that every gnome in the kingdom desires to win. The competition Gooker is helping you win!”"
"DFr_D76AA536.Text","“And also the greatest Chef.”"
"DFr_7490761E.Text","“The only reason the region was not overrun was because Guncle held fast at the gates of the capitol. Driving back the horde into the forest.”"
"DFr_8390C97C.Text","“If I may be so bold. I am shocked his own blood would entertain such a thought.”"
"DFr_3AA2427A.Text","“Guncle is the first winner of the royal competition. He provided Grancis with a powerful vision of his goddess Caldaria.”"
"DFr_5242E682.Text","“You question the word of the King?! I should strike you dow-..!”"
"DFr_DE724737.Text","...*cough*... “I am sorry Ghunter. I know you convene with the goddess in a way I never could.”"
"DFr_B27A43DB.Text","“Who am I to judge why you choose to pass judgement on the King. Maybe that is why he has fallen ill... He may need to be humbled..”"
"DFr_27F24EF6.Text","“AAH... No-No stupid Gmith you are making a fool of yourself stop thinking. Just do as your told.”"
"DFr_8A942EAC.Text","*Whimpers* “NO! Please! I did not  meant it..”"
"DFr_CC234A38.Text","...“You are kind and wise in a way I can only admire...”"
"DFr_857B07A4.Text","*Sigh* “Thank goodness. I was really REALLY scared there.”"
"DFr_D9785A06.Text","“To be executed for that statement... or even worse. Marked as a heretic. Would be a shame on my family name.”"
"DFr_776D1BEB.Text","*Smooch* “M-pw-ease- Muah- Accept..-Schmooch- This apology”."
"DFr_8EE71051.Text","*Tears streaking down his cheeks*"
"DFr_0D85B516.Text","*Slobbering* “I -gid- got- gean -git! I'm gorry.”"
"DFr_41ADB1E4.Text","“You are kind and wise in a way I can only admire...”"
"DFr_A47C74B7.Text","*Sniffling* “It's okay. I deserved it.”"
"DFr_DE253679.Text","“By all means.”"
"DFr_13663A1E.Text","“No I wasn't, but I've read about it in like ten books.”"
"DFr_C94B08ED.Text","“Dangerous questions.”"
"DFr_8D200BE2.Text","“Cheers mate.”"
"DFr_B4B223A4.Text","“I don't need to think! The king has done that for me!”"
"DFr_038955C6.Text","“He's the chosen prophet and our monarch! How could he not know?!”"
"DFr_38C3B376.Text","“You are kind and wise in a way I can only admire...”"
"DFr_6AB6E6DC.Text","“You are kind and wise in a way I can only admire...”"
"DFr_0EF365C0.Text","“I promise it won't happen again. I will never doubt Caldaria again.”"
"DFr_22D88B0B.Text","“Guncle chose to partake in the Dance of the Basilisk at the Gernikian festival, a tradition meant to honor the delicate balance of the ShroomWoods ecosystem.”"
"DFr_3CA8C2E0.Text","“Oh.. no...”"
"DFr_3498E6E3.Text","“No... I do not.”"
"DFr_45962253.Text","“We called it the last dance.”"
"DFr_5306B40B.Text","“Yet this year bore an especially tragic weight. Guncle, moved with an elegance that evoked admiration, his subtle goading and masterful evasion leaving the crowd in awe as he achieved harmony without a drop of blood spilled.”"
"DFr_477A21DC.Text","“In a horrifying display, Grancis unleashed fatal burns upon the Basilisk, a grievous violation of the sacred customs. Gasps turned to protests as chaos erupted from the crowd, cries echoing through the arena.”"
"DFr_3B4843FC.Text","“It was not badass! I consider it to be cheating.”"
"DFr_BDAD8A91.Text","We had not seen him for many years, and he looked... transformed. No longer the jovial craftsman we once knew, his sunken eyes reflected a turmoil far darker than any creature's grasp. His movements were calculated and eerie, and he wielded his new invention, the Glunderbuss, the very weapon you carry with you."
"DFr_E6BB2980.Text","“But that reverence was shattered with the entrance of the next contestant. Grancis. He was a haunting sight to look upon.”"
"DFr_AFC6D21F.Text","“True strength, he insisted, lay not in appeasement, but in ruthless domination. He claimed progress was the true meaning of our existence.”"
"DFr_060373F3.Text","“The Council reacted swiftly and in outrage. Grancis was denounced as anathema for his desecration of our sacred traditions. They decreed his banishment from the Gernikian Festival, a fate reserved for the most egregious offenders.”"
"DFr_4B5F07D9.Text","Such heresy sent tremors through the hearts of those gathered, as his words threatened to unravel the very foundation of the Festival and disrupt the delicate balance the Shroomwoods had taken millennia to nurture."
"DFr_A66D83F4.Text","“He left on foot, with the only equipment on his person being the Glunderbuss and hunting knife.”"
"DFr_F2A246F2.Text","“In a frenzy of madness, Grancis severed the creature's wings and, in a transgression beyond comprehension, devoured its heart in the centre of the coliseum. Our moment of reverence became a grotesque spectacle, tainting the festival.”"
"DFr_EF31B4ED.Text","“He preached in complete defiance to the Tribes beliefs, claiming the dance with the Basilisk was never about harmony, but subjugation to the forest's power.”"
"DFr_AA27CB21.Text","“I agree, they should not have exiled him. They should have executed him before his beliefs could spread.”"
"DFr_83F1D258.Text","“In a sense, yes.”"
"DFr_AED5D496.Text","“Months later, I travelled to the festival grounds to give the keepers the nets for some sporecatchers. However when I arrived, I saw the Springs in ruin."
"DFr_34560B7D.Text","“All the Keepers including Goctor and Galia, had inexplicably defected from their position. I found evidence of... rituals. The engravings and splatters... seemed to be worshipping a goddess, stirring mythical cauldron.”"
"DFr_527E1A65.Text","“I had no idea. I called for Guncle to come at once, along with the council members from each of the six tribes.”"
"DFr_B6D35322.Text","“All arrived, except Elder Gamesor from Qalaga, and Elder Garto from Dalensia.”"
"DFr_AAE85457.Text","“Instead we heard reports of cannibalism and violence coming from Dalensia's border. Assuming both the missing elders to have died or defected, we declared an emergency war council with Guncle as our lead general.”"
"DFr_4EE77E98.Text","“Garcosa has not achieved a three hundred year long dynasty by allowing for the truth to be spoken.”"
"DFr_A304259C.Text","“Its propaganda and lies obscure the past, and any who try to look are branded as heretics.”"
"DFr_68205BBF.Text","“Never, not even today. Though he lost at a game of chess with Grancis. A queen sacrifice which ended in checkmate. This loss has left him in a stupor for centuries...”"
"DFr_E149EEAF.Text","“If you consider what I have told you to be heresy, then yes. I am a heretic.”"
"DFr_91FFA136.Text","“It is. Treason towards our oh so beloved king. Done in light of his perpetual treason against the truth.”"
"DFr_D20AF0F9.Text","“Because he was tricked into winning them the war. With the foulest ace in the hole, Grancis made him betray the council.”"
"DFr_3D2AA01A.Text","*Sigh* “That is not for me to tell, the truth awaits you within the heart of the festival. Go now, leave me be.”"
"DFr_501E1823.Text","“It was vile, cruel, ingnomane.”"
"DFr_76E12CBD.Text","“You do not want to know more. Intestines dangled from trees, eyeballs skewered onto toothpicks... I shall say no more on the matter.”"
"DFr_0735ED73.Text","“...”"
"DFr_E3CF6074.Text","“It all started after the king was excommunicated from the cruel tribes after trying to illuminate them to the holy truth of Caldaria.”"
"DFr_5C1EFA6C.Text","“He always knew deep down of her existence.”"
"DFr_5C998E99.Text","“But he finally was enlightened to her full divinity when he saved Guncle.”"
"DFr_F84A1CDA.Text","“That he did. Guncle was trapped by evil vines in the depths of a cave. He freed him valiantly cutting away the vines restricting his bloodflow.”"
"DFr_55FAD1C4.Text","“The vile heretics did not even have a name for it. They did it out of pure sadistic joy.”"
"DFr_7D0DE471.Text","“They would maim children and let them be devoured by the fell creatures.”"
"DFr_B8F83F37.Text","“As he fought this foul creature. The goddess spoke to him and gave him the strength to win the fight by providing him with a fruit from one of the vines stems. Empowering him with a divine vision.”"
"DFr_0B8745CE.Text","“He chose to believe in gnomes over the forest.”"
"DFr_D29F1E01.Text","“In the tribes horrific tradition of letting basilisks kill innocent gnomes for entertainment. He used his glunderbuss as a statement.”"
"DFr_DE5ABC05.Text","You question the word of the King?! I should strike you dow-..!"
"DFr_032ED82D.Text","...*cough*... I am sorry Ghunter. I know you convene with the goddess in a way I never could."
"DFr_ACB24A2A.Text","“He did not want us to keep suffering in the dark ages. He wished to take us into the light.”"
